pProb,qProb,replicate,seqLen,aaaa,aaab,aaba,aabb,aabc,abaa,abab,abac,abba,abbb,abbc,abca,abcb,abcc,abcd,label
0.665,0.485,981,1000,0.022,0.055,0.056,0.05,0.099,0.052,0.055,0.086,0.049,0.051,0.094,0.089,0.091,0.077,0.074,0
0.555,0.345,6,1000,0.064,0.08,0.092,0.041,0.079,0.043,0.038,0.076,0.06,0.053,0.094,0.093,0.073,0.072,0.042,0
0.025,0.085,842,1000,0.728,0.014,0.067,0.001,0.001,0.02,0.003,0,0.074,0.072,0.006,0.01,0.003,0.001,0,0
0.115,0.415,409,1000,0.162,0.03,0.146,0.015,0.022,0.171,0.009,0.02,0.147,0.032,0.021,0.166,0.021,0.024,0.014,1
0.015,0.125,222,1000,0.614,0.103,0.016,0,0,0.117,0.105,0.029,0,0.012,0.002,0,0.001,0.001,0,1
0.285,0.475,267,1000,0.087,0.053,0.097,0.104,0.087,0.066,0.037,0.045,0.028,0.085,0.049,0.056,0.061,0.097,0.048,0
0.025,0.355,848,1000,0.27,0.146,0.138,0.024,0.056,0.029,0.161,0.04,0.006,0.027,0.008,0.019,0.055,0.007,0.014,0
0.545,0.665,351,1000,0.02,0.043,0.057,0.058,0.113,0.039,0.036,0.08,0.046,0.049,0.085,0.1,0.086,0.096,0.092,1
0.285,0.365,12,1000,0.142,0.094,0.087,0.024,0.041,0.084,0.106,0.072,0.033,0.068,0.047,0.049,0.086,0.031,0.036,0
0.425,0.615,178,1000,0.038,0.076,0.059,0.032,0.082,0.048,0.048,0.08,0.065,0.031,0.104,0.106,0.088,0.077,0.066,0
0.735,0.105,840,1000,0.055,0.017,0.015,0.134,0.02,0.158,0.011,0.027,0.015,0.172,0.021,0.028,0.021,0.278,0.028,1
0.335,0.335,436,1000,0.142,0.075,0.097,0.028,0.045,0.077,0.027,0.04,0.101,0.092,0.082,0.073,0.04,0.045,0.036,1
0.065,0.035,341,1000,0.799,0.033,0.046,0.001,0.003,0.057,0.023,0.006,0.002,0.027,0.002,0,0.001,0,0,0
0.355,0.715,985,1000,0.024,0.081,0.09,0.088,0.171,0.028,0.028,0.07,0.029,0.036,0.074,0.061,0.075,0.066,0.079,1
0.595,0.165,268,1000,0.101,0.166,0.035,0.014,0.034,0.153,0.101,0.189,0.019,0.027,0.027,0.033,0.025,0.037,0.039,1
0.525,0.365,269,1000,0.052,0.059,0.099,0.041,0.065,0.106,0.039,0.06,0.077,0.053,0.069,0.114,0.064,0.052,0.05,1
0.465,0.625,549,1000,0.026,0.054,0.055,0.045,0.071,0.071,0.038,0.071,0.065,0.065,0.085,0.11,0.078,0.092,0.074,0
0.425,0.015,788,1000,0.333,0.225,0.21,0.054,0.126,0.011,0.005,0.003,0.005,0.009,0.002,0.009,0.005,0.002,0.001,0
0.285,0.585,186,1000,0.047,0.049,0.083,0.036,0.086,0.076,0.075,0.106,0.044,0.049,0.058,0.083,0.098,0.063,0.047,0
0.305,0.395,705,1000,0.121,0.058,0.085,0.038,0.029,0.072,0.114,0.071,0.031,0.102,0.051,0.042,0.107,0.032,0.047,1
0.055,0.365,365,1000,0.216,0.124,0.033,0.011,0.022,0.151,0.033,0.049,0.134,0.041,0.057,0.073,0.015,0.022,0.019,0
0.495,0.135,360,1000,0.161,0.04,0.186,0.019,0.032,0.033,0.048,0.021,0.043,0.171,0.034,0.054,0.113,0.029,0.016,0
0.005,0.715,921,1000,0.018,0.047,0.048,0.055,0.105,0.054,0.058,0.087,0.038,0.041,0.079,0.084,0.103,0.093,0.09,0
0.045,0.595,813,1000,0.066,0.04,0.049,0.05,0.045,0.101,0.107,0.089,0.02,0.088,0.056,0.056,0.09,0.09,0.053,0
0.355,0.285,402,1000,0.154,0.104,0.097,0.091,0.088,0.084,0.03,0.038,0.027,0.065,0.048,0.033,0.035,0.076,0.03,1
0.105,0.165,147,1000,0.502,0.055,0.086,0.007,0.014,0.052,0.005,0.007,0.106,0.083,0.026,0.029,0.018,0.005,0.005,0
0.565,0.065,142,1000,0.157,0.19,0.211,0.088,0.184,0.019,0.017,0.026,0.011,0.02,0.009,0.015,0.019,0.021,0.013,0
0.215,0.115,860,1000,0.404,0.066,0.135,0.008,0.015,0.13,0.009,0.014,0.068,0.057,0.018,0.042,0.016,0.011,0.007,1
0.565,0.555,922,1000,0.037,0.049,0.052,0.049,0.093,0.053,0.047,0.074,0.051,0.056,0.075,0.096,0.084,0.106,0.078,1
0.595,0.015,937,1000,0.16,0.232,0.007,0.002,0.006,0.005,0.002,0.01,0.095,0.256,0.211,0.002,0.006,0.003,0.003,0
0.145,0.225,636,1000,0.359,0.055,0.105,0.011,0.015,0.067,0.014,0.015,0.113,0.125,0.034,0.044,0.025,0.016,0.002,0
0.055,0.375,907,1000,0.213,0.143,0.047,0.013,0.023,0.038,0.145,0.073,0.027,0.136,0.04,0.009,0.056,0.024,0.013,0
0.215,0.365,580,1000,0.162,0.118,0.055,0.019,0.03,0.113,0.128,0.121,0.023,0.059,0.037,0.031,0.056,0.027,0.021,1
0.675,0.345,475,1000,0.041,0.049,0.028,0.089,0.063,0.099,0.026,0.055,0.033,0.092,0.065,0.061,0.066,0.176,0.057,1
0.435,0.465,789,1000,0.051,0.07,0.071,0.08,0.085,0.072,0.045,0.072,0.03,0.067,0.095,0.06,0.066,0.083,0.053,0
0.255,0.695,759,1000,0.036,0.117,0.016,0.032,0.05,0.121,0.114,0.211,0.029,0.022,0.053,0.045,0.06,0.055,0.039,1
0.555,0.525,86,1000,0.03,0.066,0.065,0.049,0.063,0.059,0.042,0.075,0.061,0.057,0.097,0.096,0.087,0.078,0.075,0
0.065,0.385,285,1000,0.214,0.148,0.017,0.005,0.013,0.178,0.174,0.172,0.003,0.012,0.015,0.009,0.018,0.017,0.005,1
0.115,0.415,236,1000,0.169,0.038,0.054,0.026,0.027,0.121,0.023,0.034,0.114,0.12,0.067,0.089,0.031,0.062,0.025,0
0.145,0.525,536,1000,0.085,0.101,0.096,0.049,0.084,0.042,0.02,0.057,0.098,0.064,0.099,0.073,0.044,0.049,0.039,0
0.685,0.485,847,1000,0.02,0.046,0.041,0.046,0.101,0.053,0.044,0.09,0.058,0.051,0.093,0.101,0.096,0.084,0.076,0
0.045,0.475,992,1000,0.13,0.126,0.126,0.039,0.071,0.048,0.125,0.084,0.014,0.047,0.036,0.027,0.084,0.02,0.023,0
0.665,0.585,146,1000,0.018,0.054,0.048,0.036,0.079,0.061,0.04,0.11,0.049,0.056,0.092,0.092,0.086,0.081,0.098,1
0.455,0.445,124,1000,0.06,0.064,0.066,0.077,0.102,0.062,0.033,0.055,0.042,0.075,0.066,0.057,0.066,0.107,0.068,1
0.565,0.385,132,1000,0.061,0.089,0.092,0.065,0.125,0.047,0.037,0.06,0.036,0.049,0.073,0.067,0.064,0.07,0.065,1
0.395,0.325,839,1000,0.116,0.097,0.064,0.041,0.047,0.101,0.027,0.059,0.079,0.067,0.077,0.086,0.045,0.052,0.042,0
0.465,0.295,210,1000,0.114,0.061,0.058,0.034,0.042,0.104,0.071,0.096,0.034,0.092,0.05,0.057,0.081,0.067,0.039,0
0.065,0.215,226,1000,0.415,0.123,0.118,0.013,0.029,0.032,0.007,0.01,0.113,0.045,0.029,0.035,0.014,0.008,0.009,0
0.535,0.585,331,1000,0.021,0.051,0.055,0.033,0.081,0.049,0.044,0.084,0.067,0.05,0.127,0.094,0.085,0.075,0.084,1
0.395,0.205,589,1000,0.185,0.065,0.126,0.068,0.061,0.126,0.025,0.04,0.029,0.051,0.027,0.065,0.043,0.066,0.023,0
0.355,0.085,291,1000,0.31,0.204,0.025,0.017,0.019,0.166,0.055,0.102,0.015,0.031,0.021,0.009,0.008,0.015,0.003,1
0.115,0.245,997,1000,0.348,0.121,0.121,0.142,0.081,0.046,0.01,0.013,0.012,0.034,0.014,0.012,0.011,0.027,0.008,1
0.125,0.165,425,1000,0.44,0.054,0.07,0.01,0.007,0.091,0.11,0.033,0.01,0.099,0.013,0.009,0.032,0.016,0.006,0
0.005,0.655,621,1000,0.045,0.073,0.033,0.091,0.091,0.044,0.034,0.069,0.061,0.074,0.092,0.061,0.072,0.094,0.066,0
0.105,0.695,476,1000,0.057,0.014,0.007,0.142,0.028,0.154,0.015,0.03,0.013,0.138,0.031,0.024,0.023,0.295,0.029,1
0.075,0.665,199,1000,0.062,0.011,0.147,0.009,0.016,0.175,0.008,0.018,0.167,0.006,0.027,0.308,0.011,0.019,0.016,1
0.235,0.435,675,1000,0.136,0.045,0.118,0.026,0.043,0.038,0.116,0.041,0.026,0.124,0.042,0.031,0.142,0.042,0.03,1
0.235,0.195,827,1000,0.329,0.098,0.119,0.095,0.045,0.082,0.02,0.021,0.019,0.057,0.02,0.017,0.024,0.043,0.011,1
0.735,0.695,243,1000,0.016,0.049,0.033,0.045,0.097,0.058,0.051,0.095,0.032,0.047,0.093,0.084,0.094,0.112,0.094,1
0.385,0.165,433,1000,0.217,0.143,0.074,0.022,0.028,0.059,0.056,0.044,0.04,0.163,0.063,0.021,0.042,0.018,0.01,0
0.405,0.375,435,1000,0.082,0.067,0.07,0.085,0.081,0.083,0.036,0.062,0.033,0.1,0.059,0.053,0.048,0.106,0.035,1
0.375,0.125,267,1000,0.265,0.178,0.033,0.009,0.025,0.047,0.022,0.03,0.063,0.152,0.102,0.014,0.028,0.018,0.014,1
0.515,0.695,416,1000,0.019,0.044,0.071,0.047,0.081,0.044,0.07,0.074,0.043,0.055,0.086,0.081,0.109,0.1,0.076,1
0.285,0.415,636,1000,0.112,0.064,0.094,0.022,0.053,0.096,0.028,0.046,0.102,0.059,0.079,0.125,0.041,0.044,0.035,1
0.455,0.175,574,1000,0.166,0.045,0.168,0.021,0.036,0.045,0.082,0.034,0.022,0.157,0.034,0.029,0.12,0.023,0.018,1
0.295,0.575,666,1000,0.043,0.051,0.07,0.027,0.075,0.049,0.049,0.062,0.087,0.075,0.107,0.1,0.085,0.058,0.062,0
0.325,0.665,303,1000,0.028,0.053,0.056,0.044,0.089,0.058,0.038,0.075,0.063,0.05,0.095,0.104,0.084,0.084,0.079,0
0.135,0.075,961,1000,0.575,0.11,0.048,0.054,0.016,0.105,0.009,0.008,0.003,0.045,0.005,0.007,0.001,0.013,0.001,0
0.255,0.115,632,1000,0.389,0.054,0.135,0.015,0.011,0.15,0.054,0.023,0.019,0.052,0.007,0.03,0.034,0.019,0.008,0
0.415,0.055,819,1000,0.294,0.228,0.018,0.008,0.006,0.018,0.009,0.009,0.081,0.194,0.113,0.003,0.007,0.006,0.006,1
0.115,0.235,260,1000,0.363,0.056,0.133,0.007,0.012,0.058,0.124,0.024,0.01,0.116,0.012,0.018,0.05,0.01,0.007,1
0.735,0.315,867,1000,0.03,0.03,0.103,0.031,0.079,0.081,0.028,0.081,0.094,0.028,0.071,0.166,0.064,0.062,0.052,1
0.225,0.165,619,1000,0.361,0.084,0.094,0.02,0.012,0.072,0.083,0.038,0.009,0.11,0.023,0.02,0.046,0.022,0.006,1
0.375,0.615,905,1000,0.038,0.065,0.031,0.043,0.069,0.042,0.036,0.06,0.094,0.092,0.153,0.07,0.076,0.068,0.063,1
0.195,0.415,936,1000,0.144,0.04,0.131,0.015,0.036,0.108,0.025,0.034,0.13,0.039,0.044,0.124,0.045,0.042,0.043,1
0.335,0.065,31,1000,0.36,0.026,0.208,0.013,0.006,0.026,0.03,0.003,0.032,0.181,0.019,0.02,0.06,0.009,0.007,0
0.115,0.725,528,1000,0.056,0.014,0.147,0.013,0.025,0.013,0.134,0.025,0.009,0.16,0.026,0.031,0.3,0.02,0.027,1
0.425,0.585,237,1000,0.041,0.073,0.05,0.038,0.067,0.075,0.083,0.13,0.03,0.048,0.076,0.079,0.063,0.08,0.067,1
0.045,0.545,870,1000,0.088,0.048,0.104,0.024,0.042,0.051,0.043,0.041,0.097,0.111,0.093,0.1,0.074,0.048,0.036,0
0.135,0.415,649,1000,0.183,0.132,0.026,0.021,0.014,0.135,0.136,0.178,0.019,0.033,0.022,0.028,0.023,0.03,0.02,1
0.365,0.725,943,1000,0.019,0.046,0.045,0.066,0.107,0.047,0.055,0.083,0.04,0.045,0.086,0.095,0.107,0.073,0.086,0
0.455,0.395,840,1000,0.078,0.068,0.066,0.092,0.092,0.074,0.037,0.056,0.043,0.068,0.056,0.065,0.06,0.099,0.046,1
0.335,0.125,366,1000,0.306,0.128,0.056,0.067,0.031,0.142,0.029,0.052,0.015,0.055,0.023,0.035,0.011,0.039,0.011,0
0.035,0.375,941,1000,0.255,0.015,0.008,0.143,0.011,0.179,0.003,0.006,0.006,0.177,0.003,0.007,0.012,0.172,0.003,1
0.315,0.005,818,1000,0.491,0.216,0.003,0.001,0.001,0.197,0.027,0.061,0.001,0,0,0.001,0,0.001,0,1
0.625,0.345,866,1000,0.039,0.044,0.089,0.058,0.08,0.039,0.052,0.055,0.044,0.093,0.083,0.085,0.093,0.077,0.069,0
0.405,0.455,888,1000,0.058,0.065,0.104,0.034,0.054,0.074,0.081,0.069,0.034,0.08,0.06,0.053,0.11,0.068,0.056,1
0.225,0.175,825,1000,0.359,0.085,0.114,0.013,0.016,0.07,0.088,0.036,0.012,0.098,0.023,0.023,0.039,0.017,0.007,1
0.445,0.415,655,1000,0.067,0.063,0.064,0.031,0.068,0.069,0.083,0.099,0.046,0.076,0.063,0.059,0.098,0.065,0.049,1
0.625,0.165,179,1000,0.107,0.156,0.024,0.027,0.042,0.138,0.11,0.204,0.021,0.022,0.033,0.033,0.028,0.032,0.023,1
0.475,0.185,333,1000,0.15,0.166,0.034,0.018,0.036,0.14,0.077,0.139,0.018,0.047,0.038,0.035,0.036,0.046,0.02,1
0.225,0.285,353,1000,0.232,0.081,0.109,0.016,0.026,0.102,0.021,0.023,0.106,0.083,0.051,0.086,0.02,0.027,0.017,1
0.185,0.595,141,1000,0.063,0.124,0.028,0.021,0.039,0.127,0.14,0.229,0.019,0.025,0.044,0.038,0.04,0.035,0.028,1
0.265,0.615,234,1000,0.037,0.06,0.06,0.067,0.117,0.051,0.039,0.069,0.041,0.075,0.089,0.065,0.058,0.107,0.065,0
0.325,0.525,448,1000,0.059,0.073,0.053,0.033,0.056,0.093,0.046,0.081,0.099,0.06,0.081,0.081,0.054,0.07,0.061,0
0.535,0.295,463,1000,0.084,0.107,0.039,0.043,0.074,0.108,0.049,0.084,0.059,0.041,0.098,0.064,0.051,0.056,0.043,0
0.655,0.615,965,1000,0.017,0.052,0.06,0.04,0.086,0.044,0.039,0.091,0.054,0.055,0.1,0.081,0.104,0.096,0.081,0
0.365,0.475,247,1000,0.059,0.082,0.045,0.026,0.064,0.089,0.092,0.129,0.038,0.051,0.063,0.061,0.073,0.067,0.061,1
0.555,0.665,981,1000,0.024,0.031,0.047,0.041,0.095,0.052,0.053,0.103,0.05,0.046,0.092,0.097,0.089,0.087,0.093,0
0.505,0.175,392,1000,0.151,0.152,0.041,0.025,0.034,0.146,0.079,0.157,0.015,0.04,0.03,0.033,0.035,0.039,0.023,1
0.555,0.425,329,1000,0.057,0.069,0.071,0.069,0.086,0.058,0.051,0.064,0.036,0.07,0.071,0.07,0.076,0.077,0.075,0
0.225,0.405,84,1000,0.125,0.059,0.106,0.018,0.04,0.076,0.035,0.037,0.117,0.079,0.087,0.084,0.06,0.045,0.032,0
0.115,0.605,490,1000,0.061,0.04,0.076,0.094,0.102,0.05,0.033,0.056,0.033,0.097,0.055,0.05,0.086,0.098,0.069,0
0.055,0.195,834,1000,0.47,0.034,0.121,0.121,0.022,0.035,0.013,0.001,0.005,0.122,0.002,0.006,0.014,0.031,0.003,0
0.135,0.145,709,1000,0.477,0.089,0.088,0.086,0.026,0.07,0.004,0.006,0.01,0.086,0.006,0.011,0.012,0.026,0.003,1
0.735,0.465,182,1000,0.015,0.043,0.041,0.073,0.078,0.071,0.045,0.071,0.037,0.07,0.092,0.083,0.074,0.131,0.076,1
0.165,0.635,406,1000,0.044,0.055,0.072,0.035,0.05,0.074,0.097,0.097,0.046,0.043,0.07,0.09,0.101,0.072,0.054,0
0.125,0.555,889,1000,0.08,0.04,0.048,0.047,0.046,0.089,0.035,0.055,0.099,0.098,0.096,0.086,0.048,0.086,0.047,0
0.045,0.745,78,1000,0.014,0.038,0.055,0.041,0.082,0.068,0.035,0.1,0.065,0.041,0.092,0.083,0.093,0.106,0.087,0
0.435,0.705,398,1000,0.021,0.069,0.037,0.047,0.088,0.072,0.066,0.127,0.035,0.036,0.075,0.084,0.07,0.091,0.082,1
0.075,0.135,533,1000,0.546,0.059,0.099,0.006,0.005,0.06,0.085,0.013,0.003,0.09,0.002,0.003,0.022,0.005,0.002,1
0.465,0.135,63,1000,0.187,0.156,0.043,0.03,0.037,0.15,0.05,0.096,0.054,0.039,0.046,0.05,0.012,0.034,0.016,0
0.285,0.245,517,1000,0.223,0.11,0.077,0.021,0.036,0.102,0.093,0.074,0.021,0.09,0.031,0.028,0.051,0.028,0.015,1
0.705,0.405,85,1000,0.031,0.028,0.065,0.039,0.09,0.066,0.041,0.094,0.058,0.052,0.083,0.104,0.083,0.077,0.089,0
0.395,0.515,497,1000,0.062,0.05,0.048,0.088,0.09,0.067,0.039,0.071,0.044,0.079,0.077,0.062,0.062,0.113,0.048,1
0.375,0.065,899,1000,0.327,0.034,0.193,0.03,0.022,0.031,0.027,0.003,0.006,0.202,0.016,0.012,0.074,0.018,0.005,0
0.625,0.705,246,1000,0.019,0.05,0.043,0.035,0.091,0.059,0.024,0.079,0.053,0.053,0.1,0.091,0.114,0.091,0.098,0
0.475,0.465,562,1000,0.054,0.058,0.053,0.04,0.075,0.065,0.038,0.075,0.081,0.069,0.111,0.094,0.063,0.064,0.06,0
0.405,0.075,37,1000,0.305,0.035,0.185,0.007,0.021,0.019,0.051,0.011,0.008,0.191,0.01,0.015,0.121,0.015,0.006,1
0.375,0.575,893,1000,0.047,0.046,0.065,0.074,0.09,0.036,0.05,0.083,0.039,0.07,0.071,0.076,0.083,0.105,0.065,0
0.325,0.625,930,1000,0.043,0.078,0.041,0.04,0.057,0.065,0.04,0.084,0.068,0.056,0.098,0.109,0.077,0.072,0.072,0
0.455,0.035,406,1000,0.275,0.238,0.004,0.007,0.011,0.011,0.006,0.012,0.094,0.193,0.128,0.002,0.007,0.01,0.002,1
0.155,0.505,638,1000,0.087,0.136,0.025,0.019,0.033,0.03,0.021,0.026,0.142,0.139,0.219,0.03,0.031,0.034,0.028,1
0.745,0.085,585,1000,0.056,0.152,0.181,0.142,0.318,0.01,0.009,0.023,0.008,0.009,0.016,0.018,0.018,0.024,0.016,1
0.245,0.175,267,1000,0.301,0.121,0.132,0.086,0.058,0.062,0.019,0.028,0.018,0.079,0.019,0.025,0.021,0.027,0.004,1
0.245,0.305,752,1000,0.18,0.091,0.11,0.019,0.036,0.099,0.108,0.066,0.018,0.068,0.034,0.04,0.067,0.046,0.018,0
0.045,0.375,74,1000,0.223,0.111,0.029,0.149,0.071,0.044,0.006,0.023,0.033,0.14,0.057,0.029,0.012,0.06,0.013,0
0.315,0.225,419,1000,0.222,0.111,0.078,0.019,0.029,0.106,0.022,0.048,0.096,0.07,0.057,0.065,0.029,0.03,0.018,0
0.265,0.035,921,1000,0.476,0.2,0.163,0.046,0.048,0.021,0.008,0.006,0.006,0.013,0.007,0.002,0.003,0,0.001,1
0.365,0.235,489,1000,0.189,0.059,0.116,0.035,0.038,0.079,0.094,0.038,0.022,0.115,0.033,0.045,0.081,0.037,0.019,1
0.285,0.105,363,1000,0.37,0.057,0.051,0.025,0.007,0.141,0.048,0.032,0.013,0.134,0.012,0.02,0.025,0.057,0.008,0
0.285,0.095,902,1000,0.346,0.164,0.046,0.049,0.031,0.17,0.023,0.046,0.01,0.06,0.008,0.013,0.009,0.018,0.007,0
0.475,0.585,324,1000,0.034,0.057,0.05,0.037,0.067,0.064,0.041,0.084,0.064,0.051,0.101,0.118,0.072,0.086,0.074,1
0.615,0.285,140,1000,0.07,0.047,0.099,0.043,0.085,0.103,0.03,0.059,0.059,0.05,0.055,0.113,0.058,0.079,0.05,0
0.225,0.175,144,1000,0.352,0.068,0.112,0.014,0.021,0.112,0.012,0.016,0.084,0.072,0.027,0.055,0.025,0.023,0.007,1
0.665,0.535,936,1000,0.024,0.067,0.058,0.044,0.091,0.054,0.057,0.1,0.04,0.044,0.081,0.093,0.083,0.081,0.083,1
0.665,0.745,374,1000,0.016,0.058,0.049,0.059,0.093,0.055,0.04,0.094,0.058,0.055,0.091,0.072,0.091,0.074,0.095,1
0.405,0.625,150,1000,0.033,0.088,0.088,0.074,0.145,0.048,0.037,0.07,0.032,0.037,0.068,0.068,0.07,0.083,0.059,1
0.065,0.155,599,1000,0.517,0.054,0.042,0.113,0.007,0.108,0.005,0.006,0.004,0.093,0.003,0.009,0.003,0.036,0,1
0.625,0.155,329,1000,0.085,0.15,0.03,0.029,0.04,0.027,0.032,0.055,0.075,0.147,0.176,0.028,0.057,0.032,0.037,0
0.235,0.505,984,1000,0.081,0.035,0.108,0.023,0.039,0.039,0.132,0.061,0.024,0.108,0.043,0.044,0.182,0.043,0.038,1
0.575,0.495,809,1000,0.039,0.059,0.068,0.048,0.067,0.059,0.037,0.076,0.056,0.053,0.093,0.116,0.071,0.085,0.073,1
0.095,0.675,390,1000,0.063,0.005,0.138,0.008,0.01,0.007,0.167,0.028,0.011,0.178,0.031,0.02,0.288,0.023,0.023,1
0.615,0.345,627,1000,0.048,0.062,0.05,0.082,0.071,0.102,0.039,0.063,0.035,0.077,0.065,0.063,0.061,0.119,0.063,1
0.125,0.305,332,1000,0.229,0.128,0.063,0.013,0.027,0.05,0.146,0.074,0.015,0.105,0.036,0.015,0.063,0.021,0.015,0
0.485,0.345,292,1000,0.088,0.094,0.059,0.056,0.061,0.038,0.034,0.054,0.079,0.092,0.123,0.072,0.051,0.051,0.048,1
0.245,0.305,786,1000,0.215,0.095,0.089,0.02,0.021,0.095,0.112,0.073,0.015,0.077,0.036,0.032,0.059,0.035,0.026,1
0.195,0.425,655,1000,0.142,0.113,0.1,0.032,0.054,0.052,0.025,0.041,0.107,0.06,0.085,0.085,0.033,0.03,0.041,0
0.665,0.695,761,1000,0.018,0.046,0.051,0.051,0.102,0.046,0.049,0.096,0.045,0.047,0.083,0.089,0.089,0.099,0.089,0
0.305,0.595,706,1000,0.044,0.044,0.075,0.077,0.099,0.063,0.047,0.071,0.043,0.058,0.067,0.081,0.07,0.1,0.061,0
0.535,0.625,767,1000,0.022,0.041,0.044,0.055,0.113,0.049,0.031,0.075,0.051,0.048,0.089,0.102,0.084,0.114,0.082,1
0.645,0.305,882,1000,0.05,0.108,0.038,0.021,0.052,0.129,0.095,0.167,0.028,0.036,0.06,0.06,0.06,0.045,0.051,1
0.365,0.125,22,1000,0.291,0.144,0.041,0.015,0.021,0.054,0.044,0.036,0.033,0.165,0.068,0.016,0.04,0.018,0.014,0
0.505,0.185,152,1000,0.127,0.036,0.034,0.094,0.028,0.18,0.032,0.034,0.019,0.141,0.033,0.039,0.045,0.137,0.021,1
0.405,0.395,747,1000,0.07,0.07,0.085,0.03,0.055,0.078,0.081,0.107,0.03,0.078,0.056,0.055,0.101,0.051,0.053,1
0.155,0.745,598,1000,0.048,0.015,0.132,0.011,0.043,0.127,0.021,0.035,0.144,0.017,0.042,0.252,0.032,0.038,0.043,1
0.505,0.275,323,1000,0.094,0.048,0.045,0.075,0.066,0.113,0.022,0.057,0.03,0.122,0.054,0.059,0.052,0.132,0.031,1
0.615,0.215,351,1000,0.084,0.027,0.031,0.097,0.033,0.132,0.031,0.033,0.036,0.155,0.042,0.044,0.046,0.177,0.032,1
0.145,0.105,86,1000,0.507,0.085,0.093,0.007,0.011,0.053,0.079,0.018,0.012,0.08,0.009,0.006,0.032,0.008,0,1
0.185,0.705,254,1000,0.03,0.042,0.052,0.062,0.072,0.05,0.069,0.102,0.04,0.05,0.089,0.085,0.088,0.087,0.082,0
0.735,0.285,248,1000,0.038,0.021,0.019,0.1,0.062,0.104,0.036,0.066,0.03,0.098,0.068,0.051,0.064,0.192,0.051,1
0.005,0.075,934,1000,0.769,0.008,0.067,0.001,0.001,0.059,0.001,0,0.071,0.007,0.002,0.014,0,0,0,1
0.405,0.025,29,1000,0.344,0.226,0.238,0.037,0.085,0.007,0.006,0.005,0.016,0.013,0.008,0.011,0.001,0.003,0,0
0.245,0.515,548,1000,0.075,0.046,0.1,0.023,0.056,0.062,0.04,0.056,0.089,0.098,0.097,0.088,0.065,0.054,0.051,0
0.385,0.655,65,1000,0.038,0.05,0.069,0.067,0.099,0.041,0.039,0.07,0.045,0.069,0.082,0.077,0.075,0.103,0.076,0
0.735,0.195,413,1000,0.046,0.019,0.101,0.023,0.044,0.089,0.035,0.065,0.097,0.031,0.061,0.206,0.056,0.062,0.065,0
0.045,0.245,861,1000,0.397,0.021,0.023,0.146,0.015,0.142,0.003,0.008,0.004,0.135,0.003,0.005,0.007,0.09,0.001,1
0.625,0.405,297,1000,0.041,0.078,0.051,0.028,0.082,0.088,0.051,0.133,0.041,0.06,0.07,0.072,0.073,0.067,0.065,1
0.495,0.275,440,1000,0.112,0.053,0.093,0.067,0.076,0.097,0.029,0.053,0.04,0.069,0.042,0.083,0.058,0.086,0.042,0
0.245,0.685,184,1000,0.028,0.029,0.115,0.028,0.066,0.098,0.028,0.052,0.103,0.036,0.047,0.236,0.041,0.053,0.04,1
0.745,0.195,658,1000,0.033,0.023,0.096,0.034,0.048,0.029,0.12,0.056,0.028,0.091,0.057,0.059,0.234,0.052,0.04,0
0.165,0.455,631,1000,0.118,0.141,0.118,0.137,0.186,0.033,0.019,0.03,0.027,0.037,0.026,0.026,0.034,0.041,0.027,1
0.095,0.195,303,1000,0.418,0.068,0.061,0.009,0.012,0.1,0.113,0.038,0.007,0.094,0.009,0.013,0.033,0.02,0.005,0
0.685,0.215,521,1000,0.047,0.133,0.027,0.026,0.042,0.13,0.1,0.228,0.022,0.03,0.044,0.037,0.035,0.051,0.048,1
0.665,0.475,305,1000,0.025,0.061,0.054,0.046,0.101,0.056,0.056,0.083,0.053,0.044,0.07,0.085,0.11,0.077,0.079,0
0.575,0.165,28,1000,0.088,0.047,0.039,0.059,0.033,0.146,0.017,0.05,0.041,0.148,0.058,0.07,0.042,0.133,0.029,0
0.515,0.035,550,1000,0.223,0.007,0.221,0.019,0.015,0.01,0.075,0.006,0.006,0.225,0.012,0.008,0.153,0.013,0.007,0
0.505,0.285,417,1000,0.093,0.128,0.068,0.027,0.059,0.036,0.058,0.068,0.05,0.116,0.088,0.047,0.071,0.048,0.043,0
0.205,0.615,322,1000,0.037,0.078,0.085,0.055,0.084,0.06,0.071,0.098,0.032,0.049,0.072,0.072,0.082,0.055,0.07,0
0.025,0.075,666,1000,0.754,0.066,0.02,0.003,0,0.064,0.057,0.005,0,0.025,0.003,0,0.001,0.001,0.001,1
0.395,0.715,751,1000,0.015,0.04,0.035,0.053,0.087,0.056,0.043,0.102,0.046,0.051,0.098,0.089,0.094,0.096,0.095,0
0.575,0.545,398,1000,0.029,0.055,0.04,0.07,0.089,0.058,0.044,0.079,0.041,0.058,0.097,0.092,0.088,0.086,0.074,0
0.625,0.165,689,1000,0.08,0.16,0.149,0.113,0.203,0.025,0.018,0.034,0.024,0.03,0.038,0.036,0.037,0.031,0.022,1
0.605,0.365,89,1000,0.041,0.045,0.085,0.032,0.075,0.047,0.085,0.071,0.045,0.094,0.057,0.059,0.131,0.072,0.061,1
0.325,0.015,857,1000,0.41,0.001,0.01,0.033,0,0.244,0.004,0.004,0.003,0.208,0,0.006,0.003,0.073,0.001,0
0.435,0.715,767,1000,0.016,0.059,0.061,0.063,0.14,0.033,0.045,0.089,0.029,0.034,0.085,0.091,0.092,0.076,0.087,1
