pProb,qProb,replicate,seqLen,aaaa,aaab,aaba,aabb,aabc,abaa,abab,abac,abba,abbb,abbc,abca,abcb,abcc,abcd,label
0.095,0.625,9,1000,0.08,0.156,0.014,0.015,0.017,0.015,0.014,0.024,0.142,0.15,0.281,0.029,0.017,0.018,0.028,1
0.615,0.665,913,1000,0.019,0.047,0.033,0.038,0.094,0.056,0.06,0.084,0.05,0.049,0.083,0.103,0.104,0.085,0.095,0
0.575,0.685,250,1000,0.013,0.057,0.063,0.054,0.117,0.042,0.043,0.096,0.038,0.032,0.096,0.079,0.078,0.095,0.097,1
0.645,0.225,92,1000,0.076,0.027,0.144,0.029,0.043,0.11,0.027,0.045,0.093,0.032,0.04,0.187,0.043,0.052,0.052,1
0.385,0.415,177,1000,0.085,0.073,0.073,0.037,0.059,0.085,0.028,0.052,0.086,0.06,0.086,0.118,0.051,0.061,0.046,1
0.135,0.035,308,1000,0.684,0.095,0.106,0.025,0.019,0.018,0.001,0.002,0.01,0.028,0.005,0.003,0.002,0.002,0,1
0.015,0.525,797,1000,0.099,0.184,0.004,0,0.011,0.002,0.004,0.005,0.184,0.193,0.297,0.004,0.005,0.006,0.002,1
0.745,0.275,600,1000,0.031,0.032,0.028,0.087,0.059,0.101,0.03,0.053,0.027,0.098,0.068,0.054,0.05,0.229,0.053,1
0.295,0.105,79,1000,0.341,0.048,0.039,0.013,0.011,0.163,0.015,0.015,0.05,0.147,0.039,0.04,0.023,0.046,0.01,0
0.635,0.565,173,1000,0.027,0.048,0.039,0.052,0.084,0.054,0.041,0.112,0.047,0.044,0.102,0.106,0.084,0.082,0.078,0
0.295,0.515,855,1000,0.052,0.087,0.063,0.073,0.095,0.057,0.036,0.062,0.038,0.074,0.096,0.059,0.052,0.091,0.065,0
0.345,0.505,316,1000,0.053,0.063,0.07,0.077,0.118,0.054,0.028,0.074,0.039,0.085,0.067,0.063,0.067,0.099,0.043,0
0.195,0.135,304,1000,0.422,0.072,0.085,0.072,0.035,0.104,0.015,0.017,0.009,0.085,0.01,0.021,0.011,0.036,0.006,0
0.275,0.235,969,1000,0.252,0.084,0.105,0.026,0.026,0.073,0.089,0.045,0.019,0.096,0.033,0.035,0.062,0.04,0.015,0
0.605,0.695,446,1000,0.016,0.044,0.048,0.042,0.092,0.061,0.033,0.09,0.062,0.05,0.086,0.094,0.093,0.093,0.096,0
0.195,0.075,128,1000,0.513,0.051,0.125,0.003,0.008,0.127,0.006,0.006,0.049,0.047,0.01,0.042,0.005,0.006,0.002,1
